year,fertility_rate
2021,0.96
2022,0.87
2023,0.84
2024,0.81
2025,0.78
2026,0.75
2027,0.72
2028,0.69
2029,0.65
2030,0.69
2031,0.7
2032,0.7
2033,0.7
2034,0.7
2035,0.7
2036,0.7
2037,0.7
2038,0.7
2039,0.7
2040,0.7
2041,0.7
2042,0.7
2043,0.7
2044,0.7
2045,0.7
2046,0.7
2047,0.7
2048,0.7
2049,0.7
2050,0.7
2051,0.7
2052,0.7
2053,0.7
2054,0.7
2055,0.7
2056,0.7
2057,0.7
2058,0.7
2059,0.7
2060,0.7
2061,0.7
2062,0.7
2063,0.7
2064,0.7
2065,0.7
2066,0.7
2067,0.7
2068,0.7
2069,0.7
2070,0.7
2071,0.7
2072,0.7
2073,0.7
2074,0.7
2075,0.7
2076,0.7
2077,0.7
2078,0.7
2079,0.7
2080,0.7
2081,0.7
2082,0.7
2083,0.7
2084,0.7
2085,0.7
2086,0.7
2087,0.7
2088,0.7
2089,0.7
2090,0.7
2091,0.7
2092,0.7
2093,0.7
2094,0.7
2095,0.7
2096,0.7
2097,0.7
2098,0.7
2099,0.7
2100,0.7
2101,0.7
2102,0.7
2103,0.7
2104,0.7
2105,0.7
2106,0.7
2107,0.7
2108,0.7
2109,0.7
2110,0.7
2111,0.7
2112,0.7
2113,0.7
2114,0.7
2115,0.7
2116,0.7
2117,0.7
2118,0.7
2119,0.7
2120,0.7
2121,0.7
2122,0.7
2123,0.7
2124,0.7
2125,0.7
2126,0.7
2127,0.7
2128,0.7
2129,0.7
2130,0.7
2131,0.7
2132,0.7
2133,0.7
2134,0.7
2135,0.7
2136,0.7
2137,0.7
2138,0.7
2139,0.7
2140,0.7
2141,0.7
2142,0.7
2143,0.7
2144,0.7
2145,0.7
2146,0.7
2147,0.7
2148,0.7
2149,0.7
2150,0.7
2151,0.7
2152,0.7
2153,0.7
2154,0.7
2155,0.7
2156,0.7
2157,0.7
2158,0.7
2159,0.7
2160,0.7
2161,0.7
2162,0.7
2163,0.7
2164,0.7
2165,0.7
2166,0.7
2167,0.7
2168,0.7
2169,0.7
2170,0.7
2171,0.7
2172,0.7
2173,0.7
2174,0.7
2175,0.7
2176,0.7
2177,0.7
2178,0.7
2179,0.7
2180,0.7
2181,0.7
2182,0.7
2183,0.7
2184,0.7
2185,0.7
2186,0.7
2187,0.7
2188,0.7
2189,0.7
2190,0.7
2191,0.7
2192,0.7
2193,0.7
2194,0.7
2195,0.7
2196,0.7
2197,0.7
2198,0.7
2199,0.7
2200,0.7
